FISH,DATETIME
1,14/7/2566 23:44:21
1,14/7/2566 23:45:09
1,14/7/2566 23:48:31
1,14/7/2566 23:50:01
1,14/7/2566 23:51:53
1,14/7/2566 23:52:22
2,14/7/2566 23:54:06
1,14/7/2566 23:56:09
1,14/7/2566 23:56:14
1,14/7/2566 23:56:47
1,14/7/2566 23:56:58
1,14/7/2566 23:57:02
1,14/7/2566 23:57:21
1,14/7/2566 23:57:57
1,15/7/2566 00:01:36
1,15/7/2566 00:06:55
1,15/7/2566 00:19:40
1,15/7/2566 01:42:40
1,15/7/2566 01:43:02
1,15/7/2566 01:43:41
1,15/7/2566 01:44:24
1,15/7/2566 01:48:56
1,15/7/2566 01:48:59
1,15/7/2566 02:08:32
1,15/7/2566 02:08:46
1,15/7/2566 02:08:58
1,15/7/2566 02:09:38
1,15/7/2566 02:14:15
1,15/7/2566 02:14:27
1,15/7/2566 02:15:32
1,15/7/2566 02:18:17
1,15/7/2566 23:03:54
1,15/7/2566 23:36:18
1,15/7/2566 23:38:07
1,15/7/2566 23:44:52
1,16/7/2566 01:14:38
1,16/7/2566 01:16:06
1,19/7/2566 11:00:38
1,19/7/2566 11:04:48
1,19/7/2566 11:10:24
1,19/7/2566 11:11:46
1,19/7/2566 11:13:30
2,19/7/2566 11:42:04
1,19/7/2566 11:42:24
1,19/7/2566 11:50:05
1,19/7/2566 11:55:06
1,19/7/2566 12:06:38
2,19/7/2566 12:07:33
2,19/7/2566 12:08:46
2,19/7/2566 12:09:14
2,19/7/2566 12:09:50
2,19/7/2566 12:10:48
1,19/7/2566 12:17:37
1,19/7/2566 13:11:24
1,19/7/2566 13:13:31
1,19/7/2566 13:27:30
1,20/7/2566 01:36:30
1,20/7/2566 11:16:45
1,20/7/2566 14:23:38
1,20/7/2566 14:23:46
1,20/7/2566 23:33:27
1,21/7/2566 17:09:54
1,21/7/2566 17:17:48
1,21/7/2566 22:52:01
3,4/8/2566 12:45:14
5,4/8/2566 12:45:35
2,4/8/2566 12:45:57
1,4/8/2566 12:47:44
1,4/8/2566 12:58:15
1,4/8/2566 13:02:16
3,4/8/2566 13:12:34
3,4/8/2566 13:12:36
3,4/8/2566 13:12:36
3,4/8/2566 13:12:37
3,4/8/2566 13:12:43
0,4/8/2566 13:16:40
0,4/8/2566 13:16:43
0,4/8/2566 13:16:43
